TRY Data Explorer Output	 2025-4-15
Species Trait Table
Specieslist: 909, 54991, 16700, 27988, 5512, 41658, 7173, 26336, 5522, 14244, 18628, 9768, 
Trait	TraitID	.Achillea millefolium.	.Trifolium pratense.	.Dactylis glomerata.	.Hedera helix.	.Asclepias syriaca.	.Phragmites australis.	.Bellis perennis.	.Glechoma hederacea.	.Asimina triloba.	.Convolvulus arvensis.	.Diospyros virginiana.	.Caltha palustris.	
Root muramic acid content per root dry mass	1440	0	0	1	0	0	0	0	0	0	0	0	0	
Root root hair length	1075	0	1	26	0	0	0	0	0	0	0	0	0	
Root rooting depth: fraction of root dry mass contained in depth interval	1512	0	0	12	0	0	0	0	0	0	0	0	0	
Root soluble components content per root dry mass	86	0	0	7	0	0	0	0	0	0	0	0	0	
Seed releasing height	1107	0	444	1	0	0	0	0	0	0	0	0	0	
Species invasion introduction year	3063	0	0	1	0	0	0	0	0	0	0	0	0	
Stem nitrogen/phosphorus (N/P) ratio	686	0	1	1	0	0	3	0	1	0	0	0	0	
Stem phosphorus (P) content per stem dry mass	616	0	1	1	0	0	3	0	1	0	0	0	0	
Stomata conductance model parameter (Ball-Berry, Jarvis, Leuning)	481	0	0	1	2	0	0	0	0	0	0	0	0	
Stomata guard cell size	733	0	4	2	2	0	0	0	0	0	0	0	0	
Coarse woody debris (CWD) stem: decomposition rate constant	1158	0	0	0	0	0	0	0	0	0	0	1	0	
Plant biomass and allometry: Crown (canopy) area per plant	20	0	0	0	0	0	0	0	0	0	0	1	0	
Plant height of lowest branch versus total plant height (furcation index)	567	0	0	0	0	0	0	0	0	0	0	1	0	
Plant height: coefficient of variation of plant height	3118	0	0	0	0	0	0	0	0	0	0	1	0	
Plant vegetative reproduction: number of ramets	328	0	0	0	0	0	0	0	0	0	0	1	0	
Stem conduit cross-sectional area (vessels and tracheids)	170	0	0	0	2	0	0	0	0	0	0	1	0	
Stem conduit lumen cross-sectional area (vessels and tracheids) per stem sapwood cross-sectional are	172	0	0	0	1	0	0	0	0	0	0	2	0	
Stem sapwood cross-section: fibre-tracheids present	3993	0	0	0	0	0	0	0	0	0	0	1	0	
Stem sapwood cross-section: fraction of rays plus axial parenchyma	3991	0	0	0	0	0	0	0	0	0	0	2	0	
Stem sapwood cross-section: libriform fibres present	3992	0	0	0	0	0	0	0	0	0	0	1	0	
Stem sapwood crossection: fibre lumen diameter	3994	0	0	0	0	0	0	0	0	0	0	3	0	
Stem sapwood crossection: fibre wall thickness/lumen ratio	3995	0	0	0	0	0	0	0	0	0	0	2	0	
Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density: wood volume shrink	3996	0	0	0	0	0	0	0	0	0	0	2	0	
Stem wood cross-section: fraction of axial parenchyma	3911	0	0	0	0	0	0	0	0	0	0	2	0	
Stem wood cross-section: fraction of ray parenchyma	3912	0	0	0	0	0	0	0	0	0	0	2	0	
Wood (sapwood) specific conductivity (stem specific conductivity)	1096	0	0	0	0	0	0	0	0	0	0	2	0	
Wood axial parenchyma arrangement	3988	0	0	0	0	0	0	0	0	0	0	1	0	
Wood cellulose content per dry mass	4006	0	0	0	0	0	0	0	0	0	0	2	0	
Wood compressive strength	3997	0	0	0	0	0	0	0	0	0	0	3	0	
Wood cross-sectional fraction of fibre area	3019	0	0	0	0	0	0	0	0	0	0	2	0	
Wood cross-sectional fraction of Vessel (conduit) area	3018	0	0	0	0	0	0	0	0	0	0	2	0	
Wood flexural strength	3998	0	0	0	0	0	0	0	0	0	0	2	0	
Wood hardness parallel	4002	0	0	0	0	0	0	0	0	0	0	5	0	
Wood heartwood color	310	0	0	0	0	0	0	0	0	0	0	4	0	
Wood intervessel or intertracheid cell wall thickness	1225	0	0	0	0	0	0	0	0	0	0	3	0	
Wood lignin content per dry mass	4005	0	0	0	0	0	0	0	0	0	0	2	0	
Wood mechanical property: flexual stiffness, elasticity, rupture	1226	0	0	0	0	0	0	0	0	0	0	3	0	
Wood rays density	3990	0	0	0	0	0	0	0	0	0	0	3	0	
Wood rays height	3989	0	0	0	0	0	0	0	0	0	0	3	0	
Wood tortional strength	4000	0	0	0	0	0	0	0	0	0	0	3	0	
Wood vessel tyloses and deposits	283	0	0	0	0	0	0	0	0	0	0	1	0	
Wood vessels surrounded by tracheids (vasicentric tracheids)	1205	0	0	0	0	0	0	0	0	0	0	1	0	
Wood vestures presence	1210	0	0	0	0	0	0	0	0	0	0	1	0	
Xylem hydraulic vulnerability curve (P20, P50, P80)	3479	0	0	0	0	0	0	0	0	0	0	10	0	
Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P8	719	0	0	0	0	0	0	0	0	0	0	12	0	
Flower number of pollen per ovule	210	0	1	0	0	0	0	0	4	0	0	0	0	
Leaf lamina dry mass to petiole dry mass ratio	3829	0	0	0	0	0	1	0	1	0	0	0	0	
Leaf petiole diameter (width)	779	0	0	0	20	0	0	0	20	0	0	0	0	
Leaf petiole dry mass	778	0	0	0	0	0	1	0	1	0	0	0	0	
Leaf petiole projected area	973	0	0	0	0	0	1	0	1	0	0	0	0	
Root nitrogen/phosphorus (N/P) ratio	687	0	0	0	0	0	6	0	1	0	0	0	0	
Root porosity (fraction of root aerenchyma air space)	246	0	0	0	0	0	0	0	2	0	0	0	0	
Stolon length	3490	0	0	0	0	0	0	0	95	0	0	0	0	
Stolon length of internodes	3649	0	0	0	0	0	0	0	88	0	0	0	0	
Stolon number of internodes	3648	0	0	0	0	0	0	0	89	0	0	0	0	
Bark thickness	24	0	0	0	1	0	0	0	0	0	0	0	0	
Bark thickness (inner bark)	3355	0	0	0	1	0	0	0	0	0	0	0	0	
Bark thickness (outer bark)	3356	0	0	0	1	0	0	0	0	0	0	0	0	
Crown (canopy) structure	36	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf ash content per leaf dry mass	333	0	0	0	1	0	26	0	0	0	0	0	0	
Leaf cuticular conductance	709	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf dry mass (paracotyledons)	389	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf elastic modulus	190	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf epidermis cell area	338	0	0	0	8	0	0	0	0	0	0	0	0	
Leaf epidermis volume per leaf volume	180	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf hydraulic conductance	748	0	0	0	2	0	0	0	0	0	0	0	0	
Leaf hypodermis volume per leaf volume	181	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf intercellular volume per leaf volume	123	0	10	0	4	0	0	0	0	0	0	0	0	
Leaf mesophyll cell area	573	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf mesophyll conductance	964	0	0	0	1	0	1	0	0	0	0	0	0	
Leaf mesophyll palisade parenchym volume per leaf volume	178	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf mesophyll palisade parenchyma cell area	365	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf mesophyll spongiophyll volume per leaf volume	179	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf paracotyledon dry mass per plant dry mass; paracotyledon weight fraction	4078	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf phosphorus (P) content per leaf	58	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf sclerified tissue per leaf lamina tissue	369	0	0	0	2	0	0	0	0	0	0	0	0	
Leaf sclerified tissue per leaf midrib	368	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf solid volume per leaf volume	708	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf vascular bundle cell size (area): phloem 	793	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf vascular bundle cell size (area): xylem 	792	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf vascular bundle volume fraction: phloem	795	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf vascular bundle volume fraction: sclerenchym	796	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf vascular bundle volume fraction: xylem	789	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf vessel diameter	367	0	0	0	3	0	0	0	0	0	0	0	0	
Leaf volume	120	0	20	0	1	0	0	0	0	0	0	0	0	
Leaf water & osmotic potential: leaf osmotic potential at full turgor	188	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf water & osmotic potential: leaf osmotic potential at turgor loss	189	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf water capacitance	711	0	0	0	2	0	0	0	0	0	0	0	0	
Leaf water content at turgor loss point	710	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf water content per leaf dry mass missing to leaf water saturation	3121	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf water storage time constant	713	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf water storage transfer resistance	714	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf water volume per leaf volume	707	0	0	0	1	0	0	0	0	0	0	0	0	
Photosynthesis CO2 concentration at chloroplast	3007	0	0	0	1	0	1	0	0	0	0	0	0	
Photosynthesis drawdown of CO2 concentration from intercellular airspace to chloroplast	3380	0	0	0	1	0	1	0	0	0	0	0	0	
Seed or fruit biomass per ground area	1110	0	0	0	1	0	0	0	0	0	0	0	0	
Stem construction type	3357	0	0	0	1	0	0	0	0	0	0	0	0	
Stem cross-sectional area	378	0	0	0	1	0	0	0	0	0	0	0	0	
Stem cross-sectional area tissue types: pith, xylem, others	377	0	0	0	3	0	0	0	0	0	0	0	0	
Stem cross-sectional area: fraction of cell wall	386	0	0	0	1	0	0	0	0	0	0	0	0	
Stem cross-sectional area: fraction of collenchyma cell wall	384	0	0	0	1	0	0	0	0	0	0	0	0	
Stem cross-sectional area: fraction of tissue other than pith or xylem	382	0	0	0	1	0	0	0	0	0	0	0	0	
Stem cross-sectional area: fraction of xylem	381	0	0	0	1	0	0	0	0	0	0	0	0	
Stem cross-sectional area: fraction of xylem cell wall	383	0	0	0	1	0	0	0	0	0	0	0	0	
Stem cross-sectional area: fraction pith cell wall	385	0	0	0	1	0	0	0	0	0	0	0	0	
Stem fraction of cell wall in xylem	372	0	0	0	1	0	0	0	0	0	0	0	0	
Stem fraction of collenchym	797	0	0	0	1	0	0	0	0	0	0	0	0	
Stem fraction of pith	380	0	0	0	1	0	0	0	0	0	0	0	0	
Stem volume	362	0	0	0	1	0	0	0	0	0	0	0	0	
Stomata area per leaf area	780	0	0	0	2	0	0	0	0	0	0	0	0	
Stomata index (number of stomata per epidermis cells)	67	0	0	0	2	0	0	0	0	0	0	0	0	
Stomata pore area per leaf surface area (abaxial, adaxial, total)	735	0	0	0	1	0	0	0	0	0	0	0	0	
Wood fiber septate fibers present	1217	0	0	0	1	0	0	0	0	0	0	0	0	
Wood tracheids and fibres	285	0	0	0	1	0	0	0	0	0	0	0	0	
Wood vessel-ray pits	1244	0	0	0	1	0	0	0	0	0	0	0	0	
Belowground plant organ carbon (C) content per belowground plant organ dry mass	2551	0	1	0	0	0	9	0	0	0	0	0	0	
Belowground plant organ carbon/nitrogen (C/N) ratio	2569	0	1	0	0	0	9	0	0	0	0	0	0	
Belowground plant organ debris decomposition rate constant 	2799	0	0	0	0	0	10	0	0	0	0	0	0	
Belowground plant organ decomposition: fraction nitrogen (N) remaining	3337	0	0	0	0	0	7	0	0	0	0	0	0	
Belowground plant organ decomposition: fraction of belowground plant organ dry mass not decomposed t	2677	0	0	0	0	0	7	0	0	0	0	0	0	
Belowground plant organ lignin content per belowground plant organ dry mass	2552	0	1	0	0	0	1	0	0	0	0	0	0	
Belowground plant organ ratio of lignin to nitrogen (N)	2666	0	0	0	0	0	1	0	0	0	0	0	0	
Dispersal distance	193	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf carbon/phosphorus (C/P) ratio	151	0	0	0	0	0	3	0	0	0	0	0	0	
Leaf cell wall nitrogen (N) content per cell wall dry mass	3376	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf cell wall nitrogen (N) content per leaf area	3377	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf chlorophyll content per leaf area (Chl b)	3477	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf chlorophyll content per leaf nitrogen (N) content	732	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf chlorophyll fluorescence	753	0	0	0	0	0	6	0	0	0	0	0	0	
Leaf construction cost per leaf area	3359	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf construction cost per leaf dry mass	2953	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf epidermis cell length	182	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf fraction of nitrogen (N) in cell wall	3378	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf mesophyll cell wall thickness	3383	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf mineral content per leaf dry mass	498	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf nitrogen (N) fraction in Rubisco	187	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf organic acid content per dry mass	3655	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf Rubisco content per leaf area	504	0	0	0	0	0	1	0	0	0	0	0	0	
Leaf sheath area	3465	0	0	0	0	0	2	0	0	0	0	0	0	
Leaf sheath area per sheath dry mass (sheath SLA)	3467	0	0	0	0	0	2	0	0	0	0	0	0	
Leaf sheath dry mass	3466	0	0	0	0	0	2	0	0	0	0	0	0	
Leaf sugar/starch ratio	3013	0	0	0	0	0	1	0	0	0	0	0	0	
Litter carbon/phosporus (C/P) ratio	3519	0	0	0	0	0	4	0	0	0	0	0	0	
Litter decomposition: carbon (C) content per litter dry mass	3521	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: carbon/nitrogen (C/N) ratio	3527	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: carbon/phosphorus (C/P) ratio	3528	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: fraction of carbon (C) remaining	3524	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: fraction of mass remaining	3520	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: fraction of nitrogen (N) remaining	3525	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: fraction of phosphorus (P) remaining	3526	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: nitrogen (N) content per litter dry mass	3522	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: nitrogen/phosphorus (N/P) ratio	3529	0	0	0	0	0	30	0	0	0	0	0	0	
Litter decomposition: phosphorus (P) content per litter dry mass	3523	0	0	0	0	0	30	0	0	0	0	0	0	
Litter nitrogen/phosphorus (N/P) ratio	3516	0	0	0	0	0	8	0	0	0	0	0	0	
Photosynthesis quantum yield (QY; corresponding to photosynthetic efficiency)	3394	0	0	0	0	0	3	0	0	0	0	0	0	
Photosynthesis: intercellular CO2 concentration to ambient CO2 (ci/ca)	3379	0	0	0	0	0	1	0	0	0	0	0	0	
Photosynthesis: quantum efficiency of photosystem II (maximum potential; FvFm)	3393	0	0	0	0	0	3	0	0	0	0	0	0	
Root carbon/phosporus (C/P) ratio	3517	0	0	0	0	0	4	0	0	0	0	0	0	
Root debris decomposition rate constant 	1519	0	0	0	0	0	1	0	0	0	0	0	0	
Root decomposition: fraction of nitrogen (N) remaining	3149	0	0	0	0	0	4	0	0	0	0	0	0	
Root decomposition: fraction of root dry mass not decomposed to original root dry mass	1367	0	0	0	0	0	4	0	0	0	0	0	0	
Root dry mass turnover rate	1418	0	0	0	0	0	1	0	0	0	0	0	0	
Root ratio of lignin to nitrogen (N)	1356	0	0	0	0	0	1	0	0	0	0	0	0	
Species occurrence range: ecological occurrence range	822	0	0	0	0	0	1	0	0	0	0	0	0	
Species soil moisture requirements	1144	0	0	0	0	0	4	0	0	0	0	0	0	
Stem carbon/phosporus (C/P) ratio	3518	0	0	0	0	0	3	0	0	0	0	0	0	
Belowground plant organ cellulose content per belowground plant organ dry mass	2553	0	1	0	0	0	0	0	0	0	0	0	0	
Belowground plant organ hemicellulose content per belowground plant organ dry mass	2622	0	1	0	0	0	0	0	0	0	0	0	0	
Belowground plant organ water soluble compounds per belowground plant organ dry mass	2658	0	1	0	0	0	0	0	0	0	0	0	0	
Branch number of secondary branches at first branching	861	0	170	0	0	0	0	0	0	0	0	0	0	
Crown (canopy) anthocyanin content per ground area (anthocyanin mass per leaf area * LAI)	3399	0	24	0	0	0	0	0	0	0	0	0	0	
Crown (canopy) carotenoid content per ground area (carotenoid mass per leaf area * LAI)	3398	0	24	0	0	0	0	0	0	0	0	0	0	
Crown (canopy) chlorophyll content per ground area (chlorophyll mass per leaf area * LAI)	3397	0	24	0	0	0	0	0	0	0	0	0	0	
Crown (canopy) dry mass per ground area (leaf mass per area * LAI)	3395	0	21	0	0	0	0	0	0	0	0	0	0	
Crown (canopy) water content per ground area (leaf water content * LAI)	3396	0	21	0	0	0	0	0	0	0	0	0	0	
Fine root cross-sectional fraction of aerenchyma	1818	0	1	0	0	0	0	0	0	0	0	0	0	
Fine root cross-sectional fraction of stele area to fine root area	1826	0	1	0	0	0	0	0	0	0	0	0	0	
Fine root dry mass fraction that is taproot (taproot dry mass per fine root dry mass)	2011	0	1	0	0	0	0	0	0	0	0	0	0	
Fine root phosphatase activity per fine root length	1979	0	1	0	0	0	0	0	0	0	0	0	0	
Fine root phosphorus (P) content per fine root length	1859	0	1	0	0	0	0	0	0	0	0	0	0	
Leaf anthocyanin content per leaf area	810	0	24	0	0	0	0	0	0	0	0	0	0	
Leaf anthocyanin content per leaf dry mass	731	0	21	0	0	0	0	0	0	0	0	0	0	
Leaf area index (LAI) of a single plant	926	0	24	0	0	0	0	0	0	0	0	0	0	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA) petiole, rhachis and midrib excluded	3086	0	20	0	0	0	0	0	0	0	0	0	0	
Leaf intercellular volume	121	0	10	0	0	0	0	0	0	0	0	0	0	
Leaf water storage capacity (WSC)	572	0	21	0	0	0	0	0	0	0	0	0	0	
Mycorrhizal colonization AM: fraction of root length that contains arbuscular mycorrhizal structures	1430	0	1	0	0	0	0	0	0	0	0	0	0	
Species range: Highland or lowland vicariant of a genus	2816	0	10	0	0	0	0	0	0	0	0	0	0	
Twig diameter	1200	0	10	0	0	0	0	0	0	0	0	0	0	
Twig dry mass	1201	0	10	0	0	0	0	0	0	0	0	0	0	
Twig length	1202	0	10	0	0	0	0	0	0	0	0	0	0	
Twig number of leaves per twig	1203	0	10	0	0	0	0	0	0	0	0	0	0	
